"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoSSB","rhoF"
"989",2034,19,5,"Rho-adjustment","Two year updates",3,9807.60674366727,5933.818,0.192293501002465,0.2793574,1150.48766484538,1152.374,3700720.37385792,1781036,-0.160338287897215,-19.1203152669749,0.40680107352789,-0.27078719914049
"990",2035,19,5,"Rho-adjustment","Two year updates",3,9127.34847461365,6117.221,0.192293546452541,0.2489461,1061.32466524957,1062.857,3902499.37616457,2163687,7.0223623419119,-19.1204544290008,0.431381599869024,-0.277442425671695
"991",2036,19,5,"Rho-adjustment","Two year updates",3,8648.13504490661,6746.848,0.178629366278127,0.1924482,942.785081709376,947.0571,3933002.70965276,2270912,-4.41098624846996,-8.70329890444451,0.433788031448727,-0.28119221535029
"992",2037,19,5,"Rho-adjustment","Two year updates",3,8417.92580887125,7910.702,0.178628341454967,0.1598572,935.639101176684,944.2064,3003864.2845164,1832544,-2.31589924312036,-8.70310350638831,0.45056057990348,-0.284554802870623
"993",1986,20,5,"Rho-adjustment","Two year updates",4,28803.0414620044,26307.955,0.8563994,0.81536485,11099.1584078796,10698.39,16631560,15911880,NA,NA,NA,NA
"994",1987,20,5,"Rho-adjustment","Two year updates",4,26828.228152218,27006.755,0.8681519,0.8303818,11381.9598282188,11395.58,17662870,16843715,NA,NA,NA,NA
"995",1988,20,5,"Rho-adjustment","Two year updates",4,26971.3876596255,27497.64,0.6547805,0.6307336,9125.44316801849,9092.6195,32593270,30561565,NA,NA,NA,NA
"996",1989,20,5,"Rho-adjustment","Two year updates",4,27805.9144903052,33501.015,0.9745814,0.95880595,14996.7547085229,14974.695,5051173,4569335.5,NA,NA,NA,NA
"997",1990,20,5,"Rho-adjustment","Two year updates",4,34686.1914342759,35776.8,1.198393,1.189052,18486.4560478636,18275.335,5417801,4706838,NA,NA,NA,NA
"998",1991,20,5,"Rho-adjustment","Two year updates",4,37777.5690760564,30125.3,1.18376,1.192029,17280.543759863,17077.98,10072200,8318506.5,NA,NA,NA,NA
"999",1992,20,5,"Rho-adjustment","Two year updates",4,31985.9783266583,18710.155,1.279991,1.326215,11570.4679474448,11482.095,10661790,8133600,NA,NA,NA,NA
"1000",1993,20,5,"Rho-adjustment","Two year updates",4,20051.2017723455,12102.295,1.543551,1.6291275,7614.48886809629,7559.546,14684380,10265980,NA,NA,NA,NA
"1001",1994,20,5,"Rho-adjustment","Two year updates",4,13446.6295011956,10374.08,1.332879,1.460607,5755.22389036235,5732.466,5257516,3360646.5,NA,NA,NA,NA
"1002",1995,20,5,"Rho-adjustment","Two year updates",4,12128.091852814,10839.94,0.916881,1.05392,4938.13732196553,4904.556,6217710,3584602.5,NA,NA,NA,NA
"1003",1996,20,5,"Rho-adjustment","Two year updates",4,13299.6573781756,11015.98,0.8162326,0.9918347,5362.6024508893,5337.3835,5584570,2934850,NA,NA,NA,NA
"1004",1997,20,5,"Rho-adjustment","Two year updates",4,13933.8763915445,8956.938,0.6711441,0.8733389,4106.21559911751,4074.859,9777971,4792861,NA,NA,NA,NA
"1005",1998,20,5,"Rho-adjustment","Two year updates",4,12004.4730649693,7786.639,0.5597291,0.7792704,3210.60391963097,3194.555,9105385,4220356.5,NA,NA,NA,NA
"1006",1999,20,5,"Rho-adjustment","Two year updates",4,11215.4156644745,7883.656,0.3747781,0.54264215,2332.8466816075,2333.2575,19041730,8386506,NA,NA,NA,NA
"1007",2000,20,5,"Rho-adjustment","Two year updates",4,12161.2915323417,9903.745,0.4428962,0.6469822,3369.379399224,3375.251,11455660,4859349,NA,NA,NA,NA
"1008",2001,20,5,"Rho-adjustment","Two year updates",4,15378.7724758281,11857.45,0.4594742,0.6886758,4168.64203944136,4169.212,2976459,1265113.5,NA,NA,NA,NA
"1009",2002,20,5,"Rho-adjustment","Two year updates",4,18796.5276919,12860.71,0.3626093,0.5391368,4002.82826898049,4008.368,13175370,5600256,NA,NA,NA,NA
"1010",2003,20,5,"Rho-adjustment","Two year updates",4,20397.4112889312,12710.705,0.3926542,0.56725085,4424.91509137666,4422.327,4777869,2021310,NA,NA,NA,NA
"1011",2004,20,5,"Rho-adjustment","Two year updates",4,19359.1434875611,11626.615,0.4701816,0.6651404,4443.68621722381,4445.261,15418270,6625540.5,NA,NA,NA,NA
"1012",2005,20,5,"Rho-adjustment","Two year updates",4,17266.7104575957,10683.865,0.6450534,0.91345405,5062.12804882701,5062.4985,9185212,4084382,NA,NA,NA,NA
"1013",2006,20,5,"Rho-adjustment","Two year updates",4,15633.0102004075,9313.932,0.4354878,0.6175039,3067.88701759327,3084.584,15170260,7055434.5,NA,NA,NA,NA
"1014",2007,20,5,"Rho-adjustment","Two year updates",4,14203.8095137136,10950.81,0.481724,0.64797475,3798.59500161295,3811.0775,11425310,5542798.5,NA,NA,NA,NA
"1015",2008,20,5,"Rho-adjustment","Two year updates",4,15922.6423718753,12115.28,0.6653683,0.8545079,5151.75446859035,5141.436,8282485,4208203.5,NA,NA,NA,NA
"1016",2009,20,5,"Rho-adjustment","Two year updates",4,16724.728661488,11903.525,0.7703221,0.95875165,5565.33333296785,5549.293,5282501,2789948.5,NA,NA,NA,NA
"1017",2010,20,5,"Rho-adjustment","Two year updates",4,15839.3430374279,10369.86,0.8866648,1.061458,5339.02029221413,5325.2925,3214456,1735104.5,NA,NA,NA,NA
"1018",2011,20,5,"Rho-adjustment","Two year updates",4,13221.7822021069,7829.909,1.307762,1.5268175,5109.97072074393,5084.729,3123141,1631530,NA,NA,NA,NA
"1019",2012,20,5,"Rho-adjustment","Two year updates",4,9573.53143761005,4415.3055,1.481667,1.72922,3032.40778800651,3013.653,3451363,1473851,NA,NA,NA,NA
"1020",2013,20,5,"Rho-adjustment","Two year updates",4,5394.31278556306,2582.5685,1.858794,2.3036445,1952.69883512836,1931.198,1711859,590513.6,NA,NA,NA,NA
"1021",2014,20,5,"Rho-adjustment","Two year updates",4,3291.96803540158,1577.8615,1.668793,2.644107,1242.39065976932,1226.335,5726967,1703900,NA,NA,NA,NA
"1022",2015,20,5,"Rho-adjustment","Two year updates",4,2375.18946319705,1041.42,0.2698311,0.5196054,260.327717992317,261.45335,2311249,584842.85,NA,NA,NA,NA
"1023",2016,20,5,"Rho-adjustment","Two year updates",4,2232.82109871111,1656.565,0.3742287,0.75068305,578.949825917599,580.7984,1355431,301811.4,NA,NA,NA,NA
"1024",2017,20,5,"Rho-adjustment","Two year updates",4,3547.93506976233,1936.6185,0.3788805,0.8770749,857.488542766298,864.23085,3061964,619600.65,NA,NA,NA,NA
"1025",2018,20,5,"Rho-adjustment","Two year updates",4,4363.4025233656,1585.793,0.198409,0.53297475,515.712106409548,518.30555,4260899,828185.7,NA,NA,NA,NA
"1026",2019,20,5,"Rho-adjustment","Two year updates",4,4278.68004512332,1567.433,0.146207926149916,0.43249685,412.609126021833,417.82665,2398143.65744911,459303.75,5.17788085438148,116.093311596512,NA,NA
"1027",2020,20,5,"Rho-adjustment","Two year updates",4,4722.37273801245,1780.2325,0.0996701752667037,0.3436369,330.096495091769,351.22385,3968246.10435363,757840.05,11.7943272631668,5.82076611254287,0.119063484052682,-0.125202378258238
"1028",2021,20,5,"Rho-adjustment","Two year updates",4,5587.65565540607,2124.9375,0.0996701772738748,0.3443568,423.991543914266,437.7566,3511434.67490039,686937.8,-5.38578655090252,5.82066170213578,0.178817060489165,-0.167100739594333
"1029",2022,20,5,"Rho-adjustment","Two year updates",4,6548.14159571272,2452.3555,0.0890629153833947,0.25329515,459.81026664494,447.2689,4988323.23260026,1002091.5,19.1652208175636,-9.01574654895498,0.229690615064131,-0.202306806175888
"1030",2023,20,5,"Rho-adjustment","Two year updates",4,7529.85013385825,2818.222,0.0890634209102387,0.2415795,489.127030956108,489.05325,5325856.02289264,1102832,2.96398934363671,-9.01511127763106,0.265660552300687,-0.223053933709301
"1031",2024,20,5,"Rho-adjustment","Two year updates",4,8464.27255953451,3301.108,0.0910035353939156,0.2442991,566.932727696101,565.73685,5703908.59301897,1266233,27.6588746984568,-37.387323107478,0.310026165020471,-0.245737564950264
"1032",2025,20,5,"Rho-adjustment","Two year updates",4,9572.14048497235,3954.7475,0.0910055196718645,0.2316647,655.368816902449,657.8849,4715720.58587701,1116218.5,11.8373157970503,-37.3872778643779,0.332462385552577,-0.258117495058038
"1033",2026,20,5,"Rho-adjustment","Two year updates",4,11236.4100548921,4730.785,0.0919251994901666,0.22877925,751.742513159335,769.02895,4666141.01781405,1185067,33.8587255844333,-39.2273740592406,0.346872096340785,-0.264546750043202
"1034",2027,20,5,"Rho-adjustment","Two year updates",4,12603.3373114922,5348.721,0.0919252101708807,0.21432485,835.223567912168,842.4215,6104575.4410251,1662301,18.3310775807903,-39.2269173908901,0.468139646489986,-0.302322937019452
"1035",2028,20,5,"Rho-adjustment","Two year updates",4,13565.091559823,6029.0965,0.106490050635426,0.2388197,1012.86022585779,1009.602,3617747.60327014,1053615,40.2929510497625,-49.2447358349695,0.538401852927981,-0.324482159137458
"1036",2029,20,5,"Rho-adjustment","Two year updates",4,14316.3206271961,6544.7955,0.106490333213699,0.2235041,1035.31365634247,1048.274,4268591.95990743,1319102.5,33.2684722904279,-49.2447045677581,0.584370764865171,-0.345570543554571
"1037",2030,20,5,"Rho-adjustment","Two year updates",4,14721.2733201526,7187.3015,0.12790645000813,0.25817375,1343.91624605597,1339.572,3668061.56788234,1243592,43.8678828740409,-54.6728530334093,0.629987835682027,-0.359032211536658
"1038",2031,20,5,"Rho-adjustment","Two year updates",4,14936.0468079179,7335.5895,0.12790676753702,0.24151415,1283.6886451472,1289.4535,3393270.77035123,1201573.5,40.8104178740982,-54.6719875470008,0.688239005703691,-0.373043388770015
"1039",2032,20,5,"Rho-adjustment","Two year updates",4,14289.2318782287,7502.0455,0.170115418427751,0.30154625,1529.89650335337,1548.0245,2836564.63566024,1174541,41.9243974890595,-57.5422610440405,0.718049255053522,-0.381532819849541
"1040",2033,20,5,"Rho-adjustment","Two year updates",4,13696.503776625,7211.1665,0.170115793217876,0.27983055,1391.3165111905,1414.695,2885422.10680493,1269052.5,50.2653755990215,-57.542652838244,0.759722733638492,-0.393058949170315
"1041",2034,20,5,"Rho-adjustment","Two year updates",4,12359.5377739894,7146.8025,0.209534156018614,0.31869945,1583.3226181918,1585.714,3789839.28144146,1843385.5,27.6164992642172,-47.7700882588073,0.809893824760048,-0.405648628991352
"1042",2035,20,5,"Rho-adjustment","Two year updates",4,11332.011793774,6808.512,0.209530490889532,0.2836181,1389.27936717097,1384.4875,4184370.77760431,2266061,39.528022918295,-47.7698040697342,0.840190211803733,-0.410696378580214
"1043",2036,20,5,"Rho-adjustment","Two year updates",4,10151.2244403295,7098.016,0.209172179616314,0.23144675,1216.11142243785,1215.8195,3998579.74188991,2251050,3.7012564434579,-16.1520708408348,0.857239081530919,-0.411486472879067
"1044",2037,20,5,"Rho-adjustment","Two year updates",4,9398.32560708531,7808.443,0.209170824654961,0.19341595,1169.12954140759,1166.5225,3124700.3431407,1890138.5,10.9197810797648,-16.1513275546878,0.852561123693647,-0.409578094403767
"1045",1986,21,5,"No rho-adjustment","Annual updates",1,28666.7060945301,26302.77,0.8563994,0.81346205,11059.5210611581,10657.775,16631560,15877155,NA,NA,NA,NA
"1046",1987,21,5,"No rho-adjustment","Annual updates",1,26748.9450119883,26990.54,0.8681519,0.8361838,11376.0357407588,11423.015,17662870,16817525,NA,NA,NA,NA
"1047",1988,21,5,"No rho-adjustment","Annual updates",1,26960.1184632493,27452.805,0.6547805,0.631393,9122.13302084776,9110.7585,32593270,30434160,NA,NA,NA,NA
"1048",1989,21,5,"No rho-adjustment","Annual updates",1,27798.3944039544,33523.37,0.9745814,0.9587851,14991.9105484824,14934.875,5051173,4589400.5,NA,NA,NA,NA
"1049",1990,21,5,"No rho-adjustment","Annual updates",1,34677.7088715223,35759.435,1.198393,1.188688,18484.8010021351,18290.825,5417801,4731684,NA,NA,NA,NA
"1050",1991,21,5,"No rho-adjustment","Annual updates",1,37774.9744790311,30149.89,1.18376,1.206234,17280.151200034,17106.25,10072200,8304557.5,NA,NA,NA,NA
"1051",1992,21,5,"No rho-adjustment","Annual updates",1,31985.3564178356,18740.635,1.279991,1.326761,11570.3697880672,11458.28,10661790,8126345.5,NA,NA,NA,NA
"1052",1993,21,5,"No rho-adjustment","Annual updates",1,20051.0520124231,12160.56,1.543551,1.634837,7614.46576834992,7577.447,14684380,10264370,NA,NA,NA,NA
"1053",1994,21,5,"No rho-adjustment","Annual updates",1,13446.597072539,10378.025,1.332879,1.4573865,5755.22039118866,5727.646,5257516,3372714,NA,NA,NA,NA
"1054",1995,21,5,"No rho-adjustment","Annual updates",1,12128.0865645422,10860.5,0.916881,1.06223,4938.13676074177,4910.553,6217710,3607228.5,NA,NA,NA,NA
"1055",1996,21,5,"No rho-adjustment","Annual updates",1,13299.6563241545,11047.1,0.8162326,0.9972375,5362.60229647845,5331.783,5584570,2931064.5,NA,NA,NA,NA
"1056",1997,21,5,"No rho-adjustment","Annual updates",1,13933.8760762564,8987.043,0.6711441,0.8780871,4106.21555558479,4091.7315,9777971,4798827.5,NA,NA,NA,NA
"1057",1998,21,5,"No rho-adjustment","Annual updates",1,12004.4729627363,7802.3085,0.5597291,0.7853289,3210.60390556565,3210.912,9105385,4218516.5,NA,NA,NA,NA
"1058",1999,21,5,"No rho-adjustment","Annual updates",1,11215.4156265306,7909.1725,0.3747781,0.54467755,2332.84667745229,2328.5,19041730,8375238,NA,NA,NA,NA
"1059",2000,21,5,"No rho-adjustment","Annual updates",1,12161.2915167555,9925.4745,0.4428962,0.6484087,3369.37939692505,3375.9515,11455660,4879897,NA,NA,NA,NA
"1060",2001,21,5,"No rho-adjustment","Annual updates",1,15378.7724682777,11888.325,0.4594742,0.6895606,4168.64203838503,4161.604,2976459,1250217.5,NA,NA,NA,NA
"1061",2002,21,5,"No rho-adjustment","Annual updates",1,18796.5276885172,12872.55,0.3626093,0.54372165,4002.82826860444,4013.681,13175370,5560839.5,NA,NA,NA,NA
"1062",2003,21,5,"No rho-adjustment","Annual updates",1,20397.4112874553,12710.265,0.3926542,0.5683539,4424.91509118813,4426.0645,4777869,2031392,NA,NA,NA,NA
"1063",2004,21,5,"No rho-adjustment","Annual updates",1,19359.1434868658,11634.98,0.4701816,0.66502705,4443.68621712498,4444.067,15418270,6647890.5,NA,NA,NA,NA
"1064",2005,21,5,"No rho-adjustment","Annual updates",1,17266.710457281,10700.84,0.6450534,0.9142581,5062.12804877425,5057.4825,9185212,4074119,NA,NA,NA,NA
"1065",2006,21,5,"No rho-adjustment","Annual updates",1,15633.0102002757,9358.916,0.4354878,0.61506895,3067.88701757958,3063.2325,15170260,7003840.5,NA,NA,NA,NA
"1066",2007,21,5,"No rho-adjustment","Annual updates",1,14203.8095136673,11017.595,0.481724,0.64632055,3798.59500160652,3820.4275,11425310,5533017,NA,NA,NA,NA
"1067",2008,21,5,"No rho-adjustment","Annual updates",1,15922.6423718552,12143.415,0.6653683,0.8571835,5151.75446858695,5154.9455,8282485,4188505,NA,NA,NA,NA
"1068",2009,21,5,"No rho-adjustment","Annual updates",1,16724.7286614797,11945.375,0.7703221,0.96080635,5565.33333296654,5592.854,5282501,2786907,NA,NA,NA,NA
"1069",2010,21,5,"No rho-adjustment","Annual updates",1,15839.3430374251,10381.145,0.8866648,1.064936,5339.02029221368,5340.9185,3214456,1739819.5,NA,NA,NA,NA
"1070",2011,21,5,"No rho-adjustment","Annual updates",1,13221.782202106,7848.8055,1.307762,1.536283,5109.97072074378,5099.364,3123141,1630777.5,NA,NA,NA,NA
"1071",2012,21,5,"No rho-adjustment","Annual updates",1,9573.5314376098,4417.976,1.481667,1.734935,3032.40778800648,3009.5605,3451363,1483450,NA,NA,NA,NA
"1072",2013,21,5,"No rho-adjustment","Annual updates",1,5394.31278556301,2581.7755,1.858794,2.3006375,1952.69883512835,1931.029,1711859,601871.55,NA,NA,NA,NA
"1073",2014,21,5,"No rho-adjustment","Annual updates",1,3291.96803540158,1591.7095,1.668793,2.6212455,1242.39065976931,1229.815,5726967,1774537.5,NA,NA,NA,NA
"1074",2015,21,5,"No rho-adjustment","Annual updates",1,2375.18946319705,1068.816,0.2698311,0.5090999,260.327717992317,261.5248,2311249,626507.2,NA,NA,NA,NA
"1075",2016,21,5,"No rho-adjustment","Annual updates",1,2232.82109871111,1713.543,0.3742287,0.7266527,578.949825917599,580.95945,1355431,339335.95,NA,NA,NA,NA
"1076",2017,21,5,"No rho-adjustment","Annual updates",1,3547.93506976233,2035.8815,0.3788805,0.8232955,857.488542766298,864.7389,3061964,767050.1,NA,NA,NA,NA
"1077",2018,21,5,"No rho-adjustment","Annual updates",1,4363.4025233656,1749.2425,0.198409,0.47764845,515.712106409548,520.193,4260899,1126439.5,NA,NA,NA,NA
"1078",2019,21,5,"No rho-adjustment","Annual updates",1,4278.68004512332,1841.889,0.0772069002390197,0.183029,223.84630224695,224.40995,2381096.12565144,671926.75,8.2241123703032,108.585728516442,NA,NA
"1079",2020,21,5,"No rho-adjustment","Annual updates",1,4722.28819930226,2462.5325,0.0912767335554316,0.20403745,320.320992145872,321.94315,4041615.66412632,1233952,12.7334406827623,-38.2600196529482,0.120526351393746,-0.123839006494599
"1080",2021,21,5,"No rho-adjustment","Annual updates",1,5804.06729367962,3190.61,0.117227933895587,0.2357415,501.268957497173,505.74585,3461635.12543965,1078075,17.215169246135,-45.4365184106473,0.172684230527378,-0.165091953344549
"1081",2022,21,5,"No rho-adjustment","Annual updates",1,6809.75893541363,3908.0185,0.165721448952178,0.307289,799.926477862346,802.6144,4920841.52821803,1567542,23.8041703269404,-51.2362212971676,0.227771069625779,-0.1997769028385
"1082",2023,21,5,"No rho-adjustment","Annual updates",1,7757.62794677231,4267.396,0.214328179786565,0.3867685,1059.5661379635,1067.8745,5339890.54377632,1638625.5,27.1782446778919,-49.2345217340569,0.266254061848782,-0.224435969534139
"1083",2024,21,5,"No rho-adjustment","Annual updates",1,8197.4717903068,4596.342,0.271959607177922,0.4888555,1388.73956613613,1396.175,5771682.32461538,1757645,25.1072349475541,-48.3840984245364,0.318160795039963,-0.255724241347667
"1084",2025,21,5,"No rho-adjustment","Annual updates",1,8585.28664152783,4864.182,0.276100591378074,0.5069406,1509.72201735379,1517.786,4425250.95336697,1350024,19.9036698942167,-35.1423991221269,0.368171956659106,-0.279418139694573
"1085",2026,21,5,"No rho-adjustment","Annual updates",1,9210.00142831342,5054.456,0.271744288891212,0.5072251,1564.5005248264,1581.675,4517910.36412802,1358851,9.49904194800213,-24.8803188334298,0.420883291186332,-0.310799236857887
"1086",2027,21,5,"No rho-adjustment","Annual updates",1,9865.87660881414,5094.1375,0.244817227072579,0.4638493,1518.00692350318,1523.6445,5834212.88182629,1730861.5,3.26208064301475,-12.8080326544198,0.631619847250916,-0.369516350828067
"1087",2028,21,5,"No rho-adjustment","Annual updates",1,10212.1671294534,5137.902,0.230997510970282,0.4470194,1445.96651258209,1456.5045,3501243.83370322,1073416.5,-0.589520551446929,-13.5417829205667,0.742207403886753,-0.381468976408347
"1088",2029,21,5,"No rho-adjustment","Annual updates",1,10380.7672655818,5186.187,0.215762631297861,0.4192637,1394.67328394246,1408.2165,3777810.91696471,1177128.5,-4.03471988302777,-8.43057850985427,0.698134618951665,-0.35638853115051
"1089",2030,21,5,"No rho-adjustment","Annual updates",1,10625.7821766271,5315.6765,0.206240532360045,0.40144085,1395.41687201047,1396.4235,3357951.6603153,1067936.5,-5.37448981116732,-9.79611074569593,0.610543878056332,-0.329395487617114
"1090",2031,21,5,"No rho-adjustment","Annual updates",1,10613.7157902328,5279.4185,0.203086232714998,0.38022075,1323.39892191922,1347.259,3208475.47859473,1061439,-6.47144309475705,-6.0069766403045,0.530066322614353,-0.30041294939222
"1091",2032,21,5,"No rho-adjustment","Annual updates",1,10340.1978631777,5199.736,0.20366998125383,0.37265135,1311.00315446979,1326.594,2742810.55249227,963630.45,-6.90575542336587,-7.9356865283643,0.466153288523512,-0.275564476831185
"1092",2033,21,5,"No rho-adjustment","Annual updates",1,9845.09607857885,4941.7875,0.201788893165493,0.3592972,1207.09633231053,1218.6435,2694212.14555629,1030580,-7.43915008629665,-7.76366354508145,0.403579724627385,-0.255653889276058
"1093",2034,21,5,"No rho-adjustment","Annual updates",1,9230.01048058191,4906.543,0.202952174382523,0.3329683,1139.13774986134,1141.459,3656243.33865984,1535824,-8.69250786993413,-5.26242076093674,0.373311083339195,-0.24633435809247
"1094",2035,21,5,"No rho-adjustment","Annual updates",1,8622.36149567073,4993.272,0.19915292880888,0.30579425,1050.53794445557,1050.6965,3917250.41737935,1841494.5,-10.7365158202355,-4.68697555299706,0.357637198451811,-0.24101745200371
"1095",2036,21,5,"No rho-adjustment","Annual updates",1,8212.05538985624,5351.089,0.191531865790957,0.26753405,961.758798653188,967.28175,3735899.23638034,1993437.5,-9.7798256262519,-1.24853129548014,0.345425655552417,-0.240732178065429
"1096",2037,21,5,"No rho-adjustment","Annual updates",1,8005.43597820538,6113.523,0.188007412383261,0.22405225,943.931417791359,948.8714,2980179.57231886,1659720,-11.0854004470005,-2.92029841862982,0.336303322962731,-0.235815007320471
"1097",1986,22,5,"No rho-adjustment","Annual updates",2,28934.783499843,26808.05,0.8563994,0.7944592,11094.074516406,10683.24,16631560,15784050,NA,NA,NA,NA
"1098",1987,22,5,"No rho-adjustment","Annual updates",2,26813.2396381772,27506.61,0.8681519,0.8094912,11392.5491340526,11422.31,17662870,16644400,NA,NA,NA,NA
"1099",1988,22,5,"No rho-adjustment","Annual updates",2,26991.0981087208,27893.86,0.6547805,0.6138956,9128.95969862509,9097.867,32593270,30305670,NA,NA,NA,NA
"1100",1989,22,5,"No rho-adjustment","Annual updates",2,27813.9034444068,33913.96,0.9745814,0.9319545,14995.3735053577,14894.08,5051173,4535235,NA,NA,NA,NA
"1101",1990,22,5,"No rho-adjustment","Annual updates",2,34683.7728224986,36190.64,1.198393,1.165577,18485.9841488388,18310.05,5417801,4640308,NA,NA,NA,NA
"1102",1991,22,5,"No rho-adjustment","Annual updates",2,37776.8292851341,30458.94,1.18376,1.185659,17280.4318302666,17129.83,10072200,8167225,NA,NA,NA,NA
"1103",1992,22,5,"No rho-adjustment","Annual updates",2,31985.8010033603,18904.96,1.279991,1.303955,11570.4399595084,11511.67,10661790,8088296,NA,NA,NA,NA
"1104",1993,22,5,"No rho-adjustment","Annual updates",2,20051.1590716756,12293.29,1.543551,1.581612,7614.48228172372,7567.043,14684380,10200890,NA,NA,NA,NA
"1105",1994,22,5,"No rho-adjustment","Annual updates",2,13446.6202548943,10502.09,1.332879,1.426413,5755.22289265176,5728.289,5257516,3341991,NA,NA,NA,NA
"1106",1995,22,5,"No rho-adjustment","Annual updates",2,12128.0903449824,10958.94,0.916881,1.038933,4938.13716194521,4897.177,6217710,3586545,NA,NA,NA,NA
"1107",1996,22,5,"No rho-adjustment","Annual updates",2,13299.6570776452,11162.07,0.8162326,0.9789314,5362.60240686252,5340.367,5584570,2919773,NA,NA,NA,NA
"1108",1997,22,5,"No rho-adjustment","Annual updates",2,13933.8763016472,9102.307,0.6711441,0.8592307,4106.21558670514,4087.464,9777971,4782663,NA,NA,NA,NA
"1109",1998,22,5,"No rho-adjustment","Annual updates",2,12004.4730358199,7951.296,0.5597291,0.7619705,3210.60391562056,3210.008,9105385,4202146,NA,NA,NA,NA
"1110",1999,22,5,"No rho-adjustment","Annual updates",2,11215.4156536557,8046.968,0.3747781,0.5267545,2332.84668042273,2322.655,19041730,8305907,NA,NA,NA,NA
"1111",2000,22,5,"No rho-adjustment","Annual updates",2,12161.2915278976,10078.89,0.4428962,0.6315717,3369.37939856851,3361.172,11455660,4853949,NA,NA,NA,NA
"1112",2001,22,5,"No rho-adjustment","Annual updates",2,15378.7724736753,12053.74,0.4594742,0.6706027,4168.64203914018,4166.349,2976459,1258475,NA,NA,NA,NA
"1113",2002,22,5,"No rho-adjustment","Annual updates",2,18796.5276909354,13055.3,0.3626093,0.5313205,4002.82826887327,4000.844,13175370,5526195,NA,NA,NA,NA
"1114",2003,22,5,"No rho-adjustment","Annual updates",2,20397.4112885104,12888.28,0.3926542,0.5549757,4424.91509132291,4418.913,4777869,2011986,NA,NA,NA,NA
"1115",2004,22,5,"No rho-adjustment","Annual updates",2,19359.1434873629,11835.09,0.4701816,0.6446831,4443.68621719563,4437.451,15418270,6568317,NA,NA,NA,NA
"1116",2005,22,5,"No rho-adjustment","Annual updates",2,17266.710457506,10894.54,0.6450534,0.8882574,5062.12804881197,5062.112,9185212,4075006,NA,NA,NA,NA
"1117",2006,22,5,"No rho-adjustment","Annual updates",2,15633.01020037,9540.037,0.4354878,0.5932842,3067.88701758936,3075.694,15170260,6973746,NA,NA,NA,NA
"1118",2007,22,5,"No rho-adjustment","Annual updates",2,14203.8095137004,11188.39,0.481724,0.6274763,3798.59500161112,3805.466,11425310,5483940,NA,NA,NA,NA
"1119",2008,22,5,"No rho-adjustment","Annual updates",2,15922.6423718695,12314.16,0.6653683,0.834076,5151.75446858938,5169.887,8282485,4109993,NA,NA,NA,NA
"1120",2009,22,5,"No rho-adjustment","Annual updates",2,16724.7286614857,12092.65,0.7703221,0.9406345,5565.33333296748,5578.187,5282501,2730129,NA,NA,NA,NA
"1121",2010,22,5,"No rho-adjustment","Annual updates",2,15839.3430374271,10496.44,0.8866648,1.043257,5339.020292214,5339.898,3214456,1700942,NA,NA,NA,NA
"1122",2011,22,5,"No rho-adjustment","Annual updates",2,13221.7822021067,7928.389,1.307762,1.501082,5109.97072074389,5092.253,3123141,1606399,NA,NA,NA,NA
"1123",2012,22,5,"No rho-adjustment","Annual updates",2,9573.53143760998,4461.06,1.481667,1.70539,3032.4077880065,3022.871,3451363,1486480,NA,NA,NA,NA
"1124",2013,22,5,"No rho-adjustment","Annual updates",2,5394.31278556304,2604.82,1.858794,2.249805,1952.69883512836,1930.313,1711859,610581.5,NA,NA,NA,NA
"1125",2014,22,5,"No rho-adjustment","Annual updates",2,3291.96803540158,1610.04,1.668793,2.536868,1242.39065976932,1228.36,5726967,1808591,NA,NA,NA,NA
"1126",2015,22,5,"No rho-adjustment","Annual updates",2,2375.18946319705,1099.377,0.2698311,0.4886385,260.327717992317,260.7277,2311249,655479.9,NA,NA,NA,NA
"1127",2016,22,5,"No rho-adjustment","Annual updates",2,2232.82109871111,1772.887,0.3742287,0.697006,578.949825917599,583.7992,1355431,362240.2,NA,NA,NA,NA
"1128",2017,22,5,"No rho-adjustment","Annual updates",2,3547.93506976233,2130.107,0.3788805,0.7731598,857.488542766298,863.1531,3061964,807774.8,NA,NA,NA,NA
"1129",2018,22,5,"No rho-adjustment","Annual updates",2,4363.4025233656,1876.665,0.198409,0.4399725,515.712106409548,519.4693,4260899,1173967,NA,NA,NA,NA
"1130",2019,22,5,"No rho-adjustment","Annual updates",2,4278.68004512332,2021.51,0.100622902480647,0.2171516,289.060241148969,288.3616,2402764.01763194,681486.8,10.3193029210006,58.9036612474102,NA,NA
"1131",2020,22,5,"No rho-adjustment","Annual updates",2,4722.3956503786,2628.284,0.12067464833748,0.2426961,406.381377695137,406.7768,4190858.41674833,1239918,13.7725912673705,-37.2333581104082,0.116935425151662,-0.124002049188684
"1132",2021,22,5,"No rho-adjustment","Annual updates",2,5727.24662927496,3278.777,0.142674384802653,0.2724383,581.8637957193,588.5037,3341023.61210747,1042810,17.2050179602189,-40.7811088355948,0.167645895623499,-0.159751901460551
"1133",2022,22,5,"No rho-adjustment","Annual updates",2,6645.06739203752,3897.367,0.184125973614713,0.3293235,862.250579984581,863.5673,5030599.98419984,1594422,20.5949209606623,-46.6751340200295,0.21162062156813,-0.188485751429518
