"","X","SSBestratioreal","Fratioreal","Year","Scenario","OM","Rho","Frequency","HCR","Misspecification","Compare_Mis","Compare_Rho","Compare_Freq"
"384",384,0.708950829297396,0.560270487362637,2028,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"385",385,0.882446341687277,0.794328502747253,2029,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"386",386,0.882446341687277,0.794328502747253,2030,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"387",387,0.955613742704651,0.927559973076923,2031,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"388",388,0.955613742704651,0.927559973076923,2032,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"389",389,0.922242454636172,0.901563468131868,2033,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"390",390,0.922242454636172,0.901563468131868,2034,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"391",391,0.853679677423278,0.771631991208791,2035,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"392",392,0.853679677423278,0.771631991208791,2036,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"393",393,0.786905045749837,0.742293776373626,2037,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"394",394,0.786905045749837,0.742293776373626,2038,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"395",395,0.755868001277401,0.808733314285714,2039,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"396",396,0.755868001277401,0.808733314285714,2040,18,5,"Rho-adjustment","Two year updates",2,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"397",397,0.180662483103264,1.73029324945055,2019,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"398",398,0.180662483103264,1.73029324945055,2020,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"399",399,0.240415731110621,0.840135946153846,2021,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"400",400,0.240415731110621,0.840135946153846,2022,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"401",401,0.316606568585141,0.94993921978022,2023,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"402",402,0.316606568585141,0.94993921978022,2024,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"403",403,0.379901105882423,1.03415327307692,2025,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"404",404,0.379901105882423,1.03415327307692,2026,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"405",405,0.510608581006719,0.960649926923077,2027,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"406",406,0.510608581006719,0.960649926923077,2028,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"407",407,0.697441052467696,0.891197470879121,2029,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"408",408,0.697441052467696,0.891197470879121,2030,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"409",409,0.871035187036914,0.784117295604396,2031,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"410",410,0.871035187036914,0.784117295604396,2032,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"411",411,0.94011729664184,0.788293335164835,2033,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"412",412,0.94011729664184,0.788293335164835,2034,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"413",413,0.870975366184898,0.864126217582418,2035,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"414",414,0.870975366184898,0.864126217582418,2036,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"415",415,0.743612341115252,0.929536565934066,2037,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"416",416,0.743612341115252,0.929536565934066,2038,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"417",417,0.706553666434361,0.877457927472527,2039,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"418",418,0.706553666434361,0.877457927472527,2040,19,5,"Rho-adjustment","Two year updates",3,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"419",419,0.181641811833741,1.73405404532967,2019,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"420",420,0.181641811833741,1.73405404532967,2020,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"421",421,0.241872580252017,0.626493483791209,2021,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"422",422,0.241872580252017,0.626493483791209,2022,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"423",423,0.365646660869326,0.450947008186813,2023,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"424",424,0.365646660869326,0.450947008186813,2024,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"425",425,0.50432202355858,0.305913587884615,2025,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"426",426,0.50432202355858,0.305913587884615,2026,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"427",427,0.759005058901401,0.301664407252747,2027,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"428",428,0.759005058901401,0.301664407252747,2028,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"429",429,1.08796636792105,0.294558882527473,2029,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"430",430,1.08796636792105,0.294558882527473,2030,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"431",431,1.32655773843047,0.340607320961538,2031,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"432",432,1.32655773843047,0.340607320961538,2032,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"433",433,1.42287441468051,0.435087691071429,2033,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"434",434,1.42287441468051,0.435087691071429,2034,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"435",435,1.27332557324133,0.630580875824176,2035,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"436",436,1.27332557324133,0.630580875824176,2036,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"437",437,0.933994188738337,0.912061201648352,2037,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"438",438,0.933994188738337,0.912061201648352,2038,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"439",439,0.748770568311148,1.061662275,2039,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"440",440,0.748770568311148,1.061662275,2040,20,5,"Rho-adjustment","Two year updates",4,NA,NA,"Rho-adjusted and not rho-adjusted",NA
"441",441,0.18231684624392,1.70442539021739,2019,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"442",442,0.190292356806684,0.875342188186813,2020,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"443",443,0.243734509353955,0.324230527335165,2021,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"444",444,0.321992421267467,0.375267625961538,2022,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"445",445,0.389096679612153,0.455438748214286,2023,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"446",446,0.477251713599937,0.60201716043956,2024,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"447",447,0.498174706397145,0.771102301648352,2025,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"448",448,0.534054650046981,0.998412675824176,2026,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"449",449,0.583586964685925,1.09559588983516,2027,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"450",450,0.638134737308889,1.16522893434066,2028,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"451",451,0.692162103003574,1.1098385010989,2029,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"452",452,0.743462173259671,1.11325486153846,2030,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"453",453,0.790088703601298,1.04366545467033,2031,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"454",454,0.829063186234449,1.0291931282967,2032,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"455",455,0.819922968276681,1.03807242692308,2033,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"456",456,0.820448674625044,1.06062896868132,2034,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"457",457,0.746633487096798,1.05796926840659,2035,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"458",458,0.719187437460107,1.07109212142857,2036,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"459",459,0.653803978235071,1.04766090576923,2037,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"460",460,0.609830541315976,1.02852045,2038,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"461",461,0.629658176292982,1.03957586703297,2039,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"462",462,0.652223641017936,0.996188803021978,2040,21,5,"No rho-adjustment","Annual updates",1,NA,NA,NA,"Two-year and annual stock assessment updates"
"463",463,0.184737722717031,1.70438412717391,2019,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"464",464,0.196034813072957,0.856862931521739,2020,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"465",465,0.248201567390645,0.415718159184783,2021,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"466",466,0.322115735408852,0.469123319175824,2022,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"467",467,0.382186844722856,0.548436289450549,2023,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"468",468,0.458674020744635,0.676903737362637,2024,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"469",469,0.471725624270197,0.842700960989011,2025,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"470",470,0.510927622201573,1.07366976098901,2026,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"471",471,0.551625382925612,1.12083573461538,2027,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"472",472,0.616143807266484,1.22985023736264,2028,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"473",473,0.667551303474493,1.20963420989011,2029,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"474",474,0.730690762086371,1.11645440604396,2030,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"475",475,0.78694264141324,1.14759082087912,2031,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"476",476,0.806926749486538,1.13125277967033,2032,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"477",477,0.810517216575228,1.09582615384615,2033,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"478",478,0.79515578885131,1.10021900934066,2034,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"479",479,0.737160655481139,1.08970480879121,2035,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"480",480,0.709448762616441,1.09448573736264,2036,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"481",481,0.645796125080508,1.11211424505495,2037,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"482",482,0.6082257783903,1.07179691043956,2038,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"483",483,0.607582153912864,1.08363780494506,2039,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"484",484,0.635618641498834,1.06652361758242,2040,22,5,"No rho-adjustment","Annual updates",2,NA,NA,NA,"Two-year and annual stock assessment updates"
"485",485,0.180066135252141,1.75086057362637,2019,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"486",486,0.19015341971766,0.887249499725275,2020,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"487",487,0.237666657821079,0.835141220604396,2021,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"488",488,0.289135714523363,0.932506944230769,2022,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"489",489,0.323013292261392,0.913406283791209,2023,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"490",490,0.371096560344698,0.985978419230769,2024,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"491",491,0.379564551738144,1.0066928489011,2025,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"492",492,0.441076848653882,1.00954905576923,2026,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"493",493,0.497239081974594,1.01238412994505,2027,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"494",494,0.614222058847137,0.969389255769231,2028,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"495",495,0.695702852570018,0.938959002197802,2029,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"496",496,0.787897335342356,0.952534973076923,2030,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"497",497,0.854517724516424,0.961733183241758,2031,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"498",498,0.883324269403045,0.977565137637363,2032,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"499",499,0.873761704366274,0.983627475824176,2033,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"500",500,0.862049052127258,1.01036636950549,2034,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"501",501,0.793380462218136,1.0181818978022,2035,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"502",502,0.767413685609237,1.03994527747253,2036,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"503",503,0.712338302906295,0.996086158516484,2037,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"504",504,0.644599838176686,1.0023738206044,2038,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"505",505,0.661107544220099,0.979580428021978,2039,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"506",506,0.698953349678867,0.934405593131868,2040,23,5,"No rho-adjustment","Annual updates",3,NA,NA,NA,"Two-year and annual stock assessment updates"
"507",507,0.1778174144011,1.79048299945055,2019,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"508",508,0.188476218196226,0.892857347802198,2020,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"509",509,0.24270401966573,0.623703968406593,2021,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"510",510,0.306553803385507,0.46415527021978,2022,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"511",511,0.37167962544007,0.388931640576923,2023,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"512",512,0.4567537235976,0.375154003434066,2024,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"513",513,0.507687043421766,0.384066702692308,2025,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"514",514,0.609579648539637,0.402822872802198,2026,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"515",515,0.718077781169405,0.418425221868132,2027,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"516",516,0.90965644329616,0.436503663791209,2028,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"517",517,1.00775184458268,0.486954865384615,2029,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"518",518,1.11875674085839,0.560036655494506,2030,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"519",519,1.18823610017095,0.697105493406593,2031,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"520",520,1.16716125420826,0.827105034065934,2032,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"521",521,1.08076585811324,0.948124278296703,2033,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"522",522,1.004339766546,1.0935548010989,2034,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"523",523,0.869185041492917,1.27303722692308,2035,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"524",524,0.763394199740944,1.27968277252747,2036,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"525",525,0.653787434749672,1.25221713379121,2037,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"526",526,0.59965194671978,1.15261381483516,2038,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"527",527,0.610698889154003,1.03852087912088,2039,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"528",528,0.639591079099668,0.941803133241758,2040,24,5,"No rho-adjustment","Annual updates",4,NA,NA,NA,"Two-year and annual stock assessment updates"
"529",529,2.46491042131838,0.168720321781915,2019,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"530",530,2.46491042131838,0.168720321781915,2020,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"531",531,3.35974035521669,0.92246665772293,2021,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"532",532,3.35974035521669,0.92246665772293,2022,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"533",533,1.67575488647018,0.959825042197452,2023,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"534",534,1.67575488647018,0.959825042197452,2024,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"535",535,1.20272425401701,0.747973411624204,2025,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"536",536,1.20272425401701,0.747973411624204,2026,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"537",537,1.23085719093013,0.709280932643312,2027,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"538",538,1.23085719093013,0.709280932643312,2028,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"539",539,1.20826224994483,0.708923328821656,2029,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"540",540,1.20826224994483,0.708923328821656,2030,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"541",541,1.11066158399404,0.69261688089172,2031,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"542",542,1.11066158399404,0.69261688089172,2032,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"543",543,1.05618927800988,0.690279809474522,2033,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"544",544,1.05618927800988,0.690279809474522,2034,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"545",545,0.949768590157306,0.686871676433121,2035,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"546",546,0.949768590157306,0.686871676433121,2036,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"547",547,1.14650516702359,0.6956661375,2037,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"548",548,1.14650516702359,0.6956661375,2038,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"549",549,1.15167218106102,0.690292853742038,2039,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"550",550,1.15167218106102,0.690292853742038,2040,25,2,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"551",551,2.46746634297523,0.169423757712766,2019,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"552",552,2.46746634297523,0.169423757712766,2020,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"553",553,3.32789493428243,0.927063091719745,2021,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"554",554,3.32789493428243,0.927063091719745,2022,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"555",555,1.65136873876204,0.974668384633758,2023,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"556",556,1.65136873876204,0.974668384633758,2024,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"557",557,1.24206287205199,0.710449110429936,2025,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"558",558,1.24206287205199,0.710449110429936,2026,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"559",559,1.30413755073348,0.679180410429936,2027,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"560",560,1.30413755073348,0.679180410429936,2028,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"561",561,1.19467965346576,0.67088863089172,2029,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"562",562,1.19467965346576,0.67088863089172,2030,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"563",563,1.06097657095277,0.665500314410828,2031,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"564",564,1.06097657095277,0.665500314410828,2032,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"565",565,1.05299408419013,0.656888950318471,2033,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"566",566,1.05299408419013,0.656888950318471,2034,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"567",567,0.956209535832913,0.663793901512739,2035,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"568",568,0.956209535832913,0.663793901512739,2036,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"569",569,1.1040482290082,0.664853509633758,2037,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"570",570,1.1040482290082,0.664853509633758,2038,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"571",571,1.11102519527432,0.649047834315287,2039,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"572",572,1.11102519527432,0.649047834315287,2040,26,2,"No rho-adjustment","Two year updates",2,NA,"Misspecified and correctly specified stock assessment",NA,NA
"573",573,2.46571519653228,0.168564431728723,2019,27,2,"No rho-adjustment","Two year updates",3,NA,"Misspecified and correctly specified stock assessment",NA,NA
"574",574,2.46571519653228,0.168564431728723,2020,27,2,"No rho-adjustment","Two year updates",3,NA,"Misspecified and correctly specified stock assessment",NA,NA
